Country/Region,Territory,Population,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,Alpha-3 code,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,Mers-confirmed,death_nb_sars,%+65,15-64pop,density,sex,IncomeGroup,tourism,World Rank,2019 Score,Government Integrity,Gov't Spending,Fiscal Health,Investment Freedom ,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Gov't Expenditure % of GDP ,"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),Public Debt (% of GDP),o-im,continent,pop_obsesity,Male_obesity,Female_obesity,nb_beds,Tests,Positive,Tests/ million,Positive/ thousands,lockdown_date,Type_lockdown,nb_trial,deaths_ebola,cases_ebola,1/22/20cases,1/23/20cases,1/24/20cases,1/25/20cases,1/26/20cases,1/27/20cases,1/28/20cases,1/29/20cases,1/30/20cases,1/31/20cases,2/1/20cases,2/2/20cases,2/3/20cases,2/4/20cases,2/5/20cases,2/6/20cases,2/7/20cases,2/8/20cases,2/9/20cases,2/10/20cases,2/11/20cases,2/12/20cases,2/13/20cases,2/14/20cases,2/15/20cases,2/16/20cases,2/17/20cases,2/18/20cases,2/19/20cases,2/20/20cases,2/21/20cases,2/22/20cases,2/23/20cases,2/24/20cases,2/25/20cases,2/26/20cases,2/27/20cases,2/28/20cases,2/29/20cases,3/1/20cases,3/2/20cases,3/3/20cases,3/4/20cases,3/5/20cases,3/6/20cases,3/7/20cases,3/8/20cases,3/9/20cases,3/10/20cases,3/11/20cases,3/12/20cases,3/13/20cases,3/14/20cases,3/15/20cases,3/16/20cases,3/17/20cases,3/18/20cases,3/19/20cases,3/20/20cases,3/21/20cases,3/22/20cases,3/23/20cases,3/24/20cases,3/25/20cases,3/26/20cases,3/27/20cases,3/28/20cases,3/29/20cases,3/30/20cases,3/31/20cases,4/1/20cases,4/2/20cases,4/3/20cases,4/4/20cases,4/5/20cases,4/6/20cases,4/7/20cases,4/8/20cases
Afghanistan,Afghanistan,26023100.0,33.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,4,4,4,4,4,6,6,7,7,11,14,14,AFG,0.07,2.11,7.6,13.37,18.22,23.2,25.26,23.77,19.03,12.99,7.0,2.43,12.92,0.0,0.0,2.58492694,54.32489755,56.93776001,48.6358467,Low income,7.598516949152541,152.0,51.5,25.2,80.3,99.3,10.0,7.0,20.0,20.0,25.6,$69.6 ,2.5,2.9,"$1,958",8.8,5.0,7.3,78.0,Asia,4.5,2.7,6.2,0.4,0.0,7.598516949152541,0.0,7.598516949152541,24/03/2020,Full,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,7,7,7,11,16,21,22,22,22,24,24,40,40,74,84,94,110,110,120,170,174,237,273,281,299,349,367,423,444
Albania,Albania,2895947.0,41.1533,20.1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,4,5,5,6,8,10,10,11,15,15,16,17,20,20,21,22,22,ALB,2.02,3.22,6.04,9.92,14.44,17.93,20.54,20.48,17.16,12.27,7.58,3.65,11.27,0.0,0.0,13.74473591,68.58239036,104.6122628,49.0630946,Upper middle income,2469000.0,52.0,66.5,40.4,73.9,80.6,70.0,1.1,23.0,15.0,29.5,$36.0 ,3.9,2.5,"$12,507",13.9,2.0,71.2,99.0,Europe,22.3,21.9,22.8,2.6,2989.0,400.0,1044.0,13.4,08/03/2020,Full,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12,23,33,38,42,51,55,59,64,70,76,89,104,123,146,174,186,197,212,223,243,259,277,304,333,361,377,383,400
Algeria,Algeria,38700000.0,28.0339,1.6596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,7,9,11,15,17,17,19,21,25,26,29,31,35,44,58,86,105,130,152,173,193,205,DZA,12.12,14.79,17.91,21.94,26.41,30.8,32.54,31.97,28.82,23.34,17.31,12.95,22.58,2.0,0.0,6.362496545,63.48882487,17.73007507,49.48426788,Upper middle income,2395000.0,171.0,46.2,28.9,48.7,18.7,30.0,8.8,35.0,23.0,41.4,$632.9 ,2.0,3.1,"$15,237",10,5.6,25.8,99.0,Africa,26.6,19.4,34.0,0.0,0.0,7.598516949152541,0.0,7.598516949152541,24/03/2020,Full,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,5,12,12,17,17,19,20,20,20,24,26,37,48,54,60,74,87,90,139,201,230,264,302,367,409,454,511,584,716,847,986,1171,1251,1320,1423,1468,1572
Andorra,Andorra,76965.0,42.5063,1.5218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,6,8,12,14,15,16,17,18,21,22,23,AND,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,0.0,0.0,7.598516949152541,7.598516949152541,163.8425532,7.598516949152541,High income,2242000.0,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.5985169491525415,7.598516949152541,7.598516949152541,7.5985169491525415,7.5985169491525415,7.598516949152541,7.598516949152541,7.598516949152541,Europe,28.0,27.9,28.1,0.0,0.0,7.598516949152541,0.0,7.598516949152541,16/03/2020,Full,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,39,39,53,75,88,113,133,164,188,224,267,308,334,370,376,390,428,439,466,501,525,545,564
Angola,Angola,24383301.0,-11.2027,17.8739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,AGO,22.58,22.68,22.78,22.35,20.74,18.37,17.95,19.9,22.19,23.18,22.79,22.61,21.51,0.0,0.0,2.2163736480000003,50.97470164,24.71305206,50.53046293,Lower middle income,481000.0,156.0,50.6,20.5,80.7,58.2,30.0,9.4,17.0,30.0,25.3,$190.3 ,0.7,2.9,"$6,753",8.2,31.7,65.3,86.0,Africa,6.8,3.5,10.0,0.0,0.0,7.598516949152541,0.0,7.598516949152541,24/03/2020,Full,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,4,4,5,7,7,7,8,8,8,10,14,16,17,19
Antigua and Barbuda,Antigua and Barbuda,86295.0,17.0608,-61.7964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,ATG,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,0.0,0.0,8.79982552,69.11908273,218.8318182,51.78849629,High income,241000.0,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.598516949152541,7.5985169491525415,7.598516949152541,7.598516949152541,7.5985169491525415,7.5985169491525415,7.598516949152541,7.598516949152541,7.598516949152541,Island,19.1,11.7,26.3,2.1,0.0,7.598516949152541,0.0,7.598516949152541,Unknown,Unknown,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,7,7,7,7,7,7,7,9,15,15,15,15,19,19
Argentina,Argentina,42669500.0,-38.4161,-63.6167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,6,8,9,13,18,19,23,27,28,36,39,43,44,48,56,63,ARG,20.8,19.9,17.51,14.05,10.65,7.66,7.42,9.02,11.53,14.67,17.54,19.83,14.22,0.0,0.0,11.11778888,64.12127729,16.2585101,51.23734845,Upper middle income,6703000.0,148.0,52.2,33.5,49.5,33.0,55.0,7.5,35.0,30.0,41.0,$920.2 ,2.9,0.7,"$20,876",8.7,25.7,52.6,93.0,South America,28.5,27.4,29.6,4.5,10793.0,1628.0,239.0,15.1,20/03/2020,Full,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,8,12,12,17,19,19,31,34,45,56,68,79,97,128,158,266,301,387,387,502,589,690,745,820,1054,1054,1133,1265,1451,1451,1554,1628,1715
Armenia,Armenia,3009800.0,40.0691,45.0382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,4,7,7,7,7,8,8,9,ARM,-8.66,-6.65,-0.57,6.62,11.43,15.58,19.82,19.28,14.97,7.92,1.62,-4.87,6.37,0.0,0.0,11.25381766,68.11276042,103.6802248,52.95657715,Upper middle income,758000.0,47.0,67.7,38.6,79.0,53.0,75.0,2.1,26.0,20.0,26.4,$28.3 ,7.5,3.6,"$9,456",18.2,0.9,53.5,99.0,Asia,20.9,17.2,24.5,3.7,4666.0,822.0,1741.0,16.6,24/03/2020,Full,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,4,8,18,26,52,78,84,115,136,160,194,235,249,265,290,329,407,424,482,532,571,663,736,770,822,833,853,881
Australia,Australia,23696900.0,-35.4735,149.0124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,AUS,27.78,27.23,25.37,21.87,17.86,14.83,13.95,15.71,18.89,22.46,25.13,26.99,21.51,0.0,0.0,15.65647523,65.15290773,3.249129487,50.19962324,High income,5771000.0,5.0,80.9,79.9,60.1,86.2,80.0,1.2,45.0,30.0,36.5,"$1,246.5 ",2.3,2.4,"$50,334",5.6,2.0,41.6,7.598516949152541,Oceania,30.4,30.7,30.1,3.8,319784.0,6024.0,12590.0,1.9,24/03/2020,Full,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,6,9,19,32,39,39,53,62,71,77,78,80,84,87,91,93,96,96,96,99
Australia,Australia,23696900.0,-33.8688,151.2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,4,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,10,12,12,16,18,21,21,AUS,27.78,27.23,25.37,21.87,17.86,14.83,13.95,15.71,18.89,22.46,25.13,26.99,21.51,0.0,0.0,15.65647523,65.15290773,3.249129487,50.19962324,High income,5771000.0,5.0,80.9,79.9,60.1,86.2,80.0,1.2,45.0,30.0,36.5,"$1,246.5 ",2.3,2.4,"$50,334",5.6,2.0,41.6,7.598516949152541,Oceania,30.4,30.7,30.1,3.8,319784.0,6024.0,12590.0,1.9,24/03/2020,Full,9.0,0.0,0.0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,13,22,22,26,28,38,48,55,65,65,92,112,134,171,210,267,307,353,436,669,669,818,1029,1219,1405,1617,1791,2032,2032,2182,2298,2389,2493,2580,2637,2686,2734
