Province/State,Country/Region_x,Territory,Population,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,Country_x,Alpha-2 code,Alpha-3 code,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,Mers-confirmed,death_nb_sars,%+65,15-64pop,density,sex,IncomeGroup,tourism,Country Name,WEBNAME,Region,World Rank,Region Rank,2019 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),ROTA,HepB,DTP3,MCV2,MCV1,Hib3,PAB.,Pol3,PCV3,BCG.,continent,pop_obsesity_x,Male_obesity_x,Female_obesity_x,Country_x.1,pop_obsesity_y,Male_obesity_y,Female_obesity_y,Country_y,pop_obsesity,Male_obesity,Female_obesity,nb_beds,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16,Tests,Positive,As of,Tests/ million,Positive/ thousands,lockdown_date,Type_lockdown,nb_trial,country
,Afghanistan,Afghanistan,26023100.0,33.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,4,4,4,4,4,6,6,7,7,11,14,14,Afghanistan,AF,AFG,0.07,2.11,7.6,13.37,18.22,23.2,25.26,23.77,19.03,12.99,7.0,2.43,12.92,0.0,0.0,2.58492694,54.32489755,56.93776001,48.6358467,Low income,,Afghanistan,Afghanistan,Asia-Pacific,152.0,39.0,51.5,19.6,29.6,25.2,91.7,80.3,99.3,49.2,60.4,76.7,66.0,10.0,10.0,7.0,20.0,20.0,5.0,25.6,35.5,$69.6 ,2.5,2.9,"$1,958",8.8,5.0,53.9,7.3,60.0,66.0,66.0,39.0,64.0,66.0,68.0,73.0,65.0,78.0,Asia,4.5,2.7,6.2,Afghanistan,4.5,2.7,6.2,Afghanistan,4.5,2.7,6.2,0.4,10.2,5.1,77.4,57.2,162.8,17.5,0.3,0.3,0.0,42.3,,,,,,,24/03/2020,Full,,
,Albania,Albania,2895947.0,41.1533,20.1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,4,5,5,6,8,10,10,11,15,15,16,17,20,20,21,22,22,Albania,AL,ALB,2.02,3.22,6.04,9.92,14.44,17.93,20.54,20.48,17.16,12.27,7.58,3.65,11.27,0.0,0.0,13.74473591,68.58239036,104.6122628,49.0630946,Upper middle income,2469000.0,Albania,Albania,Europe,52.0,27.0,66.5,54.8,30.6,40.4,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70.0,70.0,1.1,23.0,15.0,24.9,29.5,2.9,$36.0 ,3.9,2.5,"$12,507",13.9,2.0,"1,119.10",71.2,,99.0,99.0,96.0,94.0,99.0,95.0,99.0,98.0,99.0,Europe,22.3,21.9,22.8,Albania,22.3,21.9,22.8,Albania,22.3,21.9,22.8,2.6,6.7,41.4,58.0,271.5,759.7,0.7,1.2,3.6,11.6,98.4,53.0,2989.0,400.0,8 Apr,1044.0,13.4,08/03/2020,Full,,
,Algeria,Algeria,38700000.0,28.0339,1.6596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,7,9,11,15,17,17,19,21,25,26,29,31,35,44,58,86,105,130,152,173,193,205,Algeria,DZ,DZA,12.12,14.79,17.91,21.94,26.41,30.8,32.54,31.97,28.82,23.34,17.31,12.95,22.58,2.0,0.0,6.362496545,63.48882487,17.73007507,49.48426788,Upper middle income,2395000.0,Algeria,Algeria,Middle East and North Africa,171.0,14.0,46.2,31.6,36.2,28.9,76.4,48.7,18.7,61.6,49.9,74.9,67.4,30.0,30.0,8.8,35.0,23.0,24.5,41.4,41.5,$632.9 ,2.0,3.1,"$15,237",10,5.6,"1,203.00",25.8,,91.0,91.0,77.0,80.0,91.0,98.0,91.0,91.0,99.0,Africa,26.6,19.4,34.0,Algeria,26.6,19.4,34.0,Algeria,26.6,19.4,34.0,,6.6,67.7,30.9,260.4,998.2,0.0,1.8,2.2,12.1,100.0,,,,,,,24/03/2020,Full,,
,Andorra,Andorra,76965.0,42.5063,1.5218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,6,8,12,14,15,16,17,18,21,22,23,Andorra,AD,AND,,,,,,,,,,,,,,0.0,0.0,,,163.8425532,,High income,2242000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,99.0,95.0,99.0,99.0,,99.0,94.0,,Europe,28.0,27.9,28.1,Andorra,28.0,27.9,28.1,Andorra,28.0,27.9,28.1,,10.4,49.1,41.7,3834.7,4978.7,,3.3,4.0,83.1,100.0,80.0,,,,,,16/03/2020,Full,,
,Angola,Angola,24383301.0,-11.2027,17.8739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,Angola,AO,AGO,22.58,22.68,22.78,22.35,20.74,18.37,17.95,19.9,22.19,23.18,22.79,22.61,21.51,0.0,0.0,2.2163736480000003,50.97470164,24.71305206,50.53046293,Lower middle income,481000.0,Angola,Angola,Sub-Saharan Africa,156.0,33.0,50.6,35.9,26.6,20.5,83.9,80.7,58.2,55.7,58.8,55.4,61.2,30.0,40.0,9.4,17.0,30.0,20.6,25.3,28.2,$190.3 ,0.7,2.9,"$6,753",8.2,31.7,"-2,254.50",65.3,65.0,59.0,59.0,35.0,50.0,59.0,78.0,56.0,67.0,86.0,Africa,6.8,3.5,10.0,Angola,6.8,3.5,10.0,Angola,6.8,3.5,10.0,,2.9,44.1,35.2,95.2,185.8,3.6,0.2,1.3,,25.0,,,,,,,24/03/2020,Full,,
,Antigua and Barbuda,Antigua and Barbuda,86295.0,17.0608,-61.7964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Antigua and Barbuda,AG,ATG,,,,,,,,,,,,,,0.0,0.0,8.79982552,69.11908273,218.8318182,51.78849629,High income,241000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,95.0,95.0,96.0,95.0,,94.0,,,Island,19.1,11.7,26.3,Antigua and Barbuda,19.1,11.7,26.3,Antigua and Barbuda,19.1,11.7,26.3,2.1,4.3,60.6,32.2,623.1,976.4,0.0,2.8,3.1,14.0,,79.0,,,,,,,None,,
,Argentina,Argentina,42669500.0,-38.4161,-63.6167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,6,8,9,13,18,19,23,27,28,36,39,43,44,48,56,63,Argentina,AR,ARG,20.8,19.9,17.51,14.05,10.65,7.66,7.42,9.02,11.53,14.67,17.54,19.83,14.22,0.0,0.0,11.11778888,64.12127729,16.2585101,51.23734845,Upper middle income,6703000.0,Argentina,Argentina,Americas,148.0,26.0,52.2,47.8,44.5,33.5,69.3,49.5,33.0,56.4,46.9,60.2,70.0,55.0,60.0,7.5,35.0,30.0,30.8,41.0,44.1,$920.2 ,2.9,0.7,"$20,876",8.7,25.7,"11,857.00",52.6,80.0,86.0,86.0,89.0,94.0,86.0,,84.0,88.0,93.0,South America,28.5,27.4,29.6,Argentina,28.5,27.4,29.6,Argentina,28.5,27.4,29.6,4.5,7.5,74.4,15.8,955.2,1531.0,0.6,4.0,2.6,50.1,100.0,100.0,10793.0,1628.0,7 Apr,239.0,15.1,20/03/2020,Full,1.0,Argentina
,Armenia,Armenia,3009800.0,40.0691,45.0382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,4,7,7,7,7,8,8,9,Armenia,AM,ARM,-8.66,-6.65,-0.57,6.62,11.43,15.58,19.82,19.28,14.97,7.92,1.62,-4.87,6.37,0.0,0.0,11.25381766,68.11276042,103.6802248,52.95657715,Upper middle income,758000.0,Armenia,Armenia,Europe,47.0,24.0,67.7,57.2,46.3,38.6,84.7,79.0,53.0,78.3,71.4,77.8,80.8,75.0,70.0,2.1,26.0,20.0,21.3,26.4,3,$28.3 ,7.5,3.6,"$9,456",18.2,0.9,245.7,53.5,93.0,92.0,92.0,96.0,95.0,92.0,,92.0,92.0,99.0,Asia,20.9,17.2,24.5,Armenia,20.9,17.2,24.5,Armenia,20.9,17.2,24.5,3.7,9.9,16.5,80.6,358.8,876.9,1.7,2.9,5.6,86.7,99.3,76.0,4666.0,822.0,7 Apr,1741.0,16.6,24/03/2020,Full,,
Australian Capital Territory,Australia,Australia,23696900.0,-35.4735,149.0124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,Australia,AU,AUS,27.78,27.23,25.37,21.87,17.86,14.83,13.95,15.71,18.89,22.46,25.13,26.99,21.51,0.0,0.0,15.65647523,65.15290773,3.249129487,50.19962324,High income,5771000.0,Australia,Australia,Asia-Pacific,5.0,4.0,80.9,79.1,86.5,79.9,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80.0,90.0,1.2,45.0,30.0,28.2,36.5,24.8,"$1,246.5 ",2.3,2.4,"$50,334",5.6,2.0,"46,368.00",41.6,87.0,95.0,95.0,93.0,95.0,94.0,,95.0,95.0,,Oceania,30.4,30.7,30.1,Australia,30.4,30.7,30.1,Australia,30.4,30.7,30.1,3.8,9.3,68.3,18.9,5002.4,4529.9,0.0,3.6,12.7,45.1,100.0,100.0,319784.0,6024.0,8 Apr,12590.0,1.9,,None,9.0,Australia
Australian Capital Territory,Australia,Australia,23696900.0,-35.4735,149.0124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,Australia,AU,AUS,27.78,27.23,25.37,21.87,17.86,14.83,13.95,15.71,18.89,22.46,25.13,26.99,21.51,0.0,0.0,15.65647523,65.15290773,3.249129487,50.19962324,High income,5771000.0,Australia,Australia,Asia-Pacific,5.0,4.0,80.9,79.1,86.5,79.9,62.8,60.1,86.2,88.3,84.1,86.6,87.6,80.0,90.0,1.2,45.0,30.0,28.2,36.5,24.8,"$1,246.5 ",2.3,2.4,"$50,334",5.6,2.0,"46,368.00",41.6,87.0,95.0,95.0,93.0,95.0,94.0,,95.0,95.0,,Oceania,30.4,30.7,30.1,Australia,30.4,30.7,30.1,Australia,30.4,30.7,30.1,3.8,9.3,68.3,18.9,5002.4,4529.9,0.0,3.6,12.7,45.1,100.0,100.0,319784.0,6024.0,8 Apr,12590.0,1.9,,None,9.0,Australia
