Territory X Date,target
Afghanistan X 3/24/20,0
Afghanistan X 3/25/20,0
Afghanistan X 3/26/20,0
Afghanistan X 3/27/20,0
Afghanistan X 3/28/20,0
Afghanistan X 3/29/20,0
Afghanistan X 3/30/20,0
Albania X 3/24/20,0
Albania X 3/25/20,0
Albania X 3/26/20,0
Albania X 3/27/20,0
Albania X 3/28/20,0
Albania X 3/29/20,0
Albania X 3/30/20,0
Algeria X 3/24/20,0
Algeria X 3/25/20,0
Algeria X 3/26/20,0
Algeria X 3/27/20,0
Algeria X 3/28/20,0
Algeria X 3/29/20,0
Algeria X 3/30/20,0
Andorra X 3/24/20,0
Andorra X 3/25/20,0
Andorra X 3/26/20,0
Andorra X 3/27/20,0
Andorra X 3/28/20,0
Andorra X 3/29/20,0
Andorra X 3/30/20,0
Angola X 3/24/20,0
Angola X 3/25/20,0
Angola X 3/26/20,0
Angola X 3/27/20,0
Angola X 3/28/20,0
Angola X 3/29/20,0
Angola X 3/30/20,0
Antigua and Barbuda X 3/24/20,0
Antigua and Barbuda X 3/25/20,0
Antigua and Barbuda X 3/26/20,0
Antigua and Barbuda X 3/27/20,0
Antigua and Barbuda X 3/28/20,0
Antigua and Barbuda X 3/29/20,0
Antigua and Barbuda X 3/30/20,0
Argentina X 3/24/20,0
Argentina X 3/25/20,0
Argentina X 3/26/20,0
Argentina X 3/27/20,0
Argentina X 3/28/20,0
Argentina X 3/29/20,0
Argentina X 3/30/20,0
Armenia X 3/24/20,0
Armenia X 3/25/20,0
Armenia X 3/26/20,0
Armenia X 3/27/20,0
Armenia X 3/28/20,0
Armenia X 3/29/20,0
Armenia X 3/30/20,0
Aruba X 3/24/20,0
Aruba X 3/25/20,0
Aruba X 3/26/20,0
Aruba X 3/27/20,0
Aruba X 3/28/20,0
Aruba X 3/29/20,0
Aruba X 3/30/20,0
Australia X 3/24/20,0
Australia X 3/25/20,0
Australia X 3/26/20,0
Australia X 3/27/20,0
Australia X 3/28/20,0
Australia X 3/29/20,0
Australia X 3/30/20,0
Austria X 3/24/20,0
Austria X 3/25/20,0
Austria X 3/26/20,0
Austria X 3/27/20,0
Austria X 3/28/20,0
Austria X 3/29/20,0
Austria X 3/30/20,0
Azerbaijan X 3/24/20,0
Azerbaijan X 3/25/20,0
Azerbaijan X 3/26/20,0
Azerbaijan X 3/27/20,0
Azerbaijan X 3/28/20,0
Azerbaijan X 3/29/20,0
Azerbaijan X 3/30/20,0
Bahamas (the) X 3/24/20,0
Bahamas (the) X 3/25/20,0
Bahamas (the) X 3/26/20,0
Bahamas (the) X 3/27/20,0
Bahamas (the) X 3/28/20,0
Bahamas (the) X 3/29/20,0
Bahamas (the) X 3/30/20,0
Bahrain X 3/24/20,0
Bahrain X 3/25/20,0
Bahrain X 3/26/20,0
Bahrain X 3/27/20,0
Bahrain X 3/28/20,0
Bahrain X 3/29/20,0
Bahrain X 3/30/20,0
Bangladesh X 3/24/20,0
Bangladesh X 3/25/20,0
Bangladesh X 3/26/20,0
Bangladesh X 3/27/20,0
Bangladesh X 3/28/20,0
Bangladesh X 3/29/20,0
Bangladesh X 3/30/20,0
Barbados X 3/24/20,0
Barbados X 3/25/20,0
Barbados X 3/26/20,0
Barbados X 3/27/20,0
Barbados X 3/28/20,0
Barbados X 3/29/20,0
Barbados X 3/30/20,0
Belarus X 3/24/20,0
Belarus X 3/25/20,0
Belarus X 3/26/20,0
Belarus X 3/27/20,0
Belarus X 3/28/20,0
Belarus X 3/29/20,0
Belarus X 3/30/20,0
Belgium X 3/24/20,0
Belgium X 3/25/20,0
Belgium X 3/26/20,0
Belgium X 3/27/20,0
Belgium X 3/28/20,0
Belgium X 3/29/20,0
Belgium X 3/30/20,0
Belize X 3/24/20,0
Belize X 3/25/20,0
Belize X 3/26/20,0
Belize X 3/27/20,0
Belize X 3/28/20,0
Belize X 3/29/20,0
Belize X 3/30/20,0
Benin X 3/24/20,0
Benin X 3/25/20,0
Benin X 3/26/20,0
Benin X 3/27/20,0
Benin X 3/28/20,0
Benin X 3/29/20,0
Benin X 3/30/20,0
Bermuda X 3/24/20,0
Bermuda X 3/25/20,0
Bermuda X 3/26/20,0
Bermuda X 3/27/20,0
Bermuda X 3/28/20,0
Bermuda X 3/29/20,0
Bermuda X 3/30/20,0
Bhutan X 3/24/20,0
Bhutan X 3/25/20,0
Bhutan X 3/26/20,0
Bhutan X 3/27/20,0
Bhutan X 3/28/20,0
Bhutan X 3/29/20,0
Bhutan X 3/30/20,0
Bolivia (Plurinational State of) X 3/24/20,0
Bolivia (Plurinational State of) X 3/25/20,0
Bolivia (Plurinational State of) X 3/26/20,0
Bolivia (Plurinational State of) X 3/27/20,0
Bolivia (Plurinational State of) X 3/28/20,0
Bolivia (Plurinational State of) X 3/29/20,0
Bolivia (Plurinational State of) X 3/30/20,0
Bosnia and Herzegovina X 3/24/20,0
Bosnia and Herzegovina X 3/25/20,0
Bosnia and Herzegovina X 3/26/20,0
Bosnia and Herzegovina X 3/27/20,0
Bosnia and Herzegovina X 3/28/20,0
Bosnia and Herzegovina X 3/29/20,0
Bosnia and Herzegovina X 3/30/20,0
Botswana X 3/24/20,0
Botswana X 3/25/20,0
Botswana X 3/26/20,0
Botswana X 3/27/20,0
Botswana X 3/28/20,0
Botswana X 3/29/20,0
Botswana X 3/30/20,0
