Territory X Date,target
Afghanistan X 4/2/20,6
Afghanistan X 4/3/20,6
Afghanistan X 4/4/20,7
Afghanistan X 4/5/20,7
Afghanistan X 4/6/20,11
Afghanistan X 4/7/20,14
Afghanistan X 4/8/20,14
Albania X 4/2/20,16
Albania X 4/3/20,17
Albania X 4/4/20,20
Albania X 4/5/20,20
Albania X 4/6/20,21
Albania X 4/7/20,22
Albania X 4/8/20,22
Algeria X 4/2/20,86
Algeria X 4/3/20,105
Algeria X 4/4/20,130
Algeria X 4/5/20,152
Algeria X 4/6/20,173
Algeria X 4/7/20,193
Algeria X 4/8/20,205
Andorra X 4/2/20,15
Andorra X 4/3/20,16
Andorra X 4/4/20,17
Andorra X 4/5/20,18
Andorra X 4/6/20,21
Andorra X 4/7/20,22
Andorra X 4/8/20,23
Angola X 4/2/20,2
Angola X 4/3/20,2
Angola X 4/4/20,2
Angola X 4/5/20,2
Angola X 4/6/20,2
Angola X 4/7/20,2
Angola X 4/8/20,2
Antigua and Barbuda X 4/2/20,0
Antigua and Barbuda X 4/3/20,0
Antigua and Barbuda X 4/4/20,0
Antigua and Barbuda X 4/5/20,0
Antigua and Barbuda X 4/6/20,0
Antigua and Barbuda X 4/7/20,1
Antigua and Barbuda X 4/8/20,2
Argentina X 4/2/20,36
Argentina X 4/3/20,39
Argentina X 4/4/20,43
Argentina X 4/5/20,44
Argentina X 4/6/20,48
Argentina X 4/7/20,56
Argentina X 4/8/20,63
Armenia X 4/2/20,7
Armenia X 4/3/20,7
Armenia X 4/4/20,7
Armenia X 4/5/20,7
Armenia X 4/6/20,8
Armenia X 4/7/20,8
Armenia X 4/8/20,9
Aruba X 4/2/20,0
Aruba X 4/3/20,0
Aruba X 4/4/20,0
Aruba X 4/5/20,0
Aruba X 4/6/20,0
Aruba X 4/7/20,0
Aruba X 4/8/20,0
Australia X 4/2/20,24
Australia X 4/3/20,28
Australia X 4/4/20,30
Australia X 4/5/20,35
Australia X 4/6/20,40
Australia X 4/7/20,45
Australia X 4/8/20,50
Austria X 4/2/20,158
Austria X 4/3/20,168
Austria X 4/4/20,186
Austria X 4/5/20,204
Austria X 4/6/20,220
Austria X 4/7/20,243
Austria X 4/8/20,273
Azerbaijan X 4/2/20,5
Azerbaijan X 4/3/20,5
Azerbaijan X 4/4/20,5
Azerbaijan X 4/5/20,7
Azerbaijan X 4/6/20,7
Azerbaijan X 4/7/20,8
Azerbaijan X 4/8/20,8
Bahamas (the) X 4/2/20,1
Bahamas (the) X 4/3/20,1
Bahamas (the) X 4/4/20,4
Bahamas (the) X 4/5/20,4
Bahamas (the) X 4/6/20,5
Bahamas (the) X 4/7/20,6
